Text name: res/res_cn_cls_cifar10_pairflip_rate45_lr1e-02_pi1_bias2e-01_k_mix10_gap_mixup08_sgd_max_epoch200_lsecoer1e-04.txt
[00/200] [Loss] train:-0.171(f:-0.179+r:0.001+k:0.001+l:0.006) val:-0.215 test:-0.214 [Accr] train:19.4% val:26.0% test:26.0% maxVal:26.0% maxTest:26.0%
[02/200] [Loss] train:-0.218(f:-0.226+r:0.001+k:0.001+l:0.006) val:-0.259 test:-0.258 [Accr] train:24.4% val:29.8% test:29.8% maxVal:29.8% maxTest:29.8%
[04/200] [Loss] train:-0.227(f:-0.236+r:0.001+k:0.002+l:0.006) val:-0.239 test:-0.239 [Accr] train:24.0% val:25.2% test:25.2% maxVal:29.8% maxTest:29.8%
[06/200] [Loss] train:-0.200(f:-0.209+r:0.001+k:0.001+l:0.006) val:-0.229 test:-0.228 [Accr] train:21.2% val:23.9% test:23.9% maxVal:29.8% maxTest:29.8%
[08/200] [Loss] train:-0.281(f:-0.290+r:0.001+k:0.001+l:0.006) val:-0.380 test:-0.380 [Accr] train:29.6% val:40.2% test:40.2% maxVal:40.2% maxTest:40.2%
[10/200] [Loss] train:-0.250(f:-0.259+r:0.002+k:0.001+l:0.006) val:-0.346 test:-0.346 [Accr] train:26.0% val:36.2% test:36.2% maxVal:40.2% maxTest:40.2%
[12/200] [Loss] train:-0.256(f:-0.265+r:0.001+k:0.001+l:0.006) val:-0.353 test:-0.354 [Accr] train:26.8% val:37.2% test:37.2% maxVal:40.2% maxTest:40.2%
[14/200] [Loss] train:-0.270(f:-0.279+r:0.001+k:0.001+l:0.006) val:-0.364 test:-0.365 [Accr] train:28.4% val:38.0% test:38.0% maxVal:40.2% maxTest:40.2%
[16/200] [Loss] train:-0.281(f:-0.290+r:0.002+k:0.001+l:0.006) val:-0.341 test:-0.340 [Accr] train:29.5% val:35.4% test:35.4% maxVal:40.2% maxTest:40.2%
[18/200] [Loss] train:-0.311(f:-0.320+r:0.001+k:0.001+l:0.006) val:-0.406 test:-0.405 [Accr] train:32.6% val:42.4% test:42.4% maxVal:42.4% maxTest:42.4%
[20/200] [Loss] train:-0.321(f:-0.330+r:0.002+k:0.001+l:0.006) val:-0.437 test:-0.436 [Accr] train:33.4% val:45.2% test:45.2% maxVal:45.2% maxTest:45.2%
[22/200] [Loss] train:-0.320(f:-0.329+r:0.001+k:0.001+l:0.006) val:-0.398 test:-0.397 [Accr] train:33.4% val:41.4% test:41.4% maxVal:45.2% maxTest:45.2%
[24/200] [Loss] train:-0.314(f:-0.323+r:0.001+k:0.001+l:0.006) val:-0.422 test:-0.423 [Accr] train:32.8% val:44.0% test:44.0% maxVal:45.2% maxTest:45.2%
[26/200] [Loss] train:-0.352(f:-0.361+r:0.002+k:0.001+l:0.006) val:-0.477 test:-0.477 [Accr] train:36.7% val:49.3% test:49.3% maxVal:49.3% maxTest:49.3%
[28/200] [Loss] train:-0.341(f:-0.350+r:0.002+k:0.001+l:0.006) val:-0.431 test:-0.431 [Accr] train:35.6% val:44.8% test:44.8% maxVal:49.3% maxTest:49.3%
[30/200] [Loss] train:-0.346(f:-0.355+r:0.002+k:0.001+l:0.006) val:-0.455 test:-0.455 [Accr] train:36.1% val:46.6% test:46.6% maxVal:49.3% maxTest:49.3%
[32/200] [Loss] train:-0.328(f:-0.337+r:0.002+k:0.001+l:0.006) val:-0.422 test:-0.422 [Accr] train:34.2% val:43.8% test:43.8% maxVal:49.3% maxTest:49.3%
[34/200] [Loss] train:-0.367(f:-0.376+r:0.002+k:0.001+l:0.006) val:-0.481 test:-0.481 [Accr] train:38.1% val:49.7% test:49.7% maxVal:49.7% maxTest:49.7%
[36/200] [Loss] train:-0.361(f:-0.370+r:0.002+k:0.001+l:0.006) val:-0.484 test:-0.484 [Accr] train:37.4% val:49.5% test:49.5% maxVal:49.7% maxTest:49.7%
[38/200] [Loss] train:-0.369(f:-0.378+r:0.002+k:0.001+l:0.006) val:-0.512 test:-0.512 [Accr] train:38.3% val:53.1% test:53.1% maxVal:53.1% maxTest:53.1%
[40/200] [Loss] train:-0.379(f:-0.388+r:0.002+k:0.001+l:0.006) val:-0.512 test:-0.512 [Accr] train:39.2% val:52.2% test:52.2% maxVal:53.1% maxTest:53.1%
[42/200] [Loss] train:-0.381(f:-0.390+r:0.002+k:0.001+l:0.006) val:-0.501 test:-0.500 [Accr] train:39.4% val:51.2% test:51.2% maxVal:53.1% maxTest:53.1%
[44/200] [Loss] train:-0.394(f:-0.403+r:0.002+k:0.001+l:0.006) val:-0.522 test:-0.522 [Accr] train:40.6% val:52.9% test:52.9% maxVal:53.1% maxTest:53.1%
[46/200] [Loss] train:-0.366(f:-0.376+r:0.002+k:0.001+l:0.006) val:-0.476 test:-0.477 [Accr] train:38.1% val:49.1% test:49.1% maxVal:53.1% maxTest:53.1%
[48/200] [Loss] train:-0.374(f:-0.383+r:0.002+k:0.001+l:0.006) val:-0.510 test:-0.510 [Accr] train:38.6% val:52.3% test:52.3% maxVal:53.1% maxTest:53.1%
[50/200] [Loss] train:-0.363(f:-0.373+r:0.002+k:0.001+l:0.006) val:-0.481 test:-0.481 [Accr] train:37.6% val:49.3% test:49.3% maxVal:53.1% maxTest:53.1%
[52/200] [Loss] train:-0.373(f:-0.383+r:0.002+k:0.002+l:0.006) val:-0.515 test:-0.516 [Accr] train:38.6% val:52.5% test:52.5% maxVal:53.1% maxTest:53.1%
[54/200] [Loss] train:-0.389(f:-0.399+r:0.002+k:0.001+l:0.006) val:-0.505 test:-0.504 [Accr] train:40.2% val:52.0% test:52.0% maxVal:53.1% maxTest:53.1%
[56/200] [Loss] train:-0.399(f:-0.408+r:0.002+k:0.002+l:0.006) val:-0.525 test:-0.525 [Accr] train:41.1% val:53.5% test:53.5% maxVal:53.5% maxTest:53.5%
[58/200] [Loss] train:-0.389(f:-0.399+r:0.002+k:0.001+l:0.006) val:-0.525 test:-0.525 [Accr] train:40.2% val:53.5% test:53.5% maxVal:53.5% maxTest:53.5%
[60/200] [Loss] train:-0.384(f:-0.393+r:0.002+k:0.002+l:0.006) val:-0.509 test:-0.510 [Accr] train:39.6% val:52.0% test:52.0% maxVal:53.5% maxTest:53.5%
[62/200] [Loss] train:-0.384(f:-0.394+r:0.002+k:0.001+l:0.006) val:-0.476 test:-0.476 [Accr] train:39.6% val:48.4% test:48.4% maxVal:53.5% maxTest:53.5%
[64/200] [Loss] train:-0.399(f:-0.408+r:0.002+k:0.002+l:0.006) val:-0.533 test:-0.532 [Accr] train:41.0% val:54.4% test:54.4% maxVal:54.4% maxTest:54.4%
[66/200] [Loss] train:-0.367(f:-0.377+r:0.002+k:0.002+l:0.006) val:-0.481 test:-0.481 [Accr] train:38.0% val:49.1% test:49.1% maxVal:54.4% maxTest:54.4%
[68/200] [Loss] train:-0.388(f:-0.398+r:0.002+k:0.002+l:0.006) val:-0.505 test:-0.504 [Accr] train:40.0% val:51.4% test:51.4% maxVal:54.4% maxTest:54.4%
[70/200] [Loss] train:-0.398(f:-0.407+r:0.002+k:0.002+l:0.006) val:-0.515 test:-0.515 [Accr] train:41.0% val:52.7% test:52.7% maxVal:54.4% maxTest:54.4%
[72/200] [Loss] train:-0.400(f:-0.410+r:0.002+k:0.002+l:0.006) val:-0.524 test:-0.523 [Accr] train:41.3% val:53.2% test:53.2% maxVal:54.4% maxTest:54.4%
[74/200] [Loss] train:-0.379(f:-0.388+r:0.002+k:0.002+l:0.006) val:-0.491 test:-0.491 [Accr] train:39.0% val:50.1% test:50.1% maxVal:54.4% maxTest:54.4%
[76/200] [Loss] train:-0.397(f:-0.406+r:0.002+k:0.002+l:0.006) val:-0.516 test:-0.517 [Accr] train:40.9% val:52.7% test:52.7% maxVal:54.4% maxTest:54.4%
[78/200] [Loss] train:-0.401(f:-0.410+r:0.002+k:0.002+l:0.006) val:-0.542 test:-0.541 [Accr] train:41.2% val:54.7% test:54.7% maxVal:54.7% maxTest:54.7%
[80/200] [Loss] train:-0.387(f:-0.396+r:0.002+k:0.001+l:0.006) val:-0.483 test:-0.483 [Accr] train:39.8% val:48.8% test:48.8% maxVal:54.7% maxTest:54.7%
[82/200] [Loss] train:-0.415(f:-0.425+r:0.002+k:0.002+l:0.006) val:-0.565 test:-0.565 [Accr] train:42.7% val:56.8% test:56.8% maxVal:56.8% maxTest:56.8%
[84/200] [Loss] train:-0.402(f:-0.412+r:0.002+k:0.002+l:0.006) val:-0.522 test:-0.522 [Accr] train:41.4% val:52.6% test:52.6% maxVal:56.8% maxTest:56.8%
[86/200] [Loss] train:-0.408(f:-0.417+r:0.002+k:0.002+l:0.006) val:-0.532 test:-0.532 [Accr] train:41.9% val:53.3% test:53.3% maxVal:56.8% maxTest:56.8%
[88/200] [Loss] train:-0.413(f:-0.422+r:0.002+k:0.002+l:0.006) val:-0.521 test:-0.521 [Accr] train:42.3% val:52.4% test:52.4% maxVal:56.8% maxTest:56.8%
