Text name: res/res_cn_cls_cifar10_pairflip_rate45_lr1e-02_pi1_bias2e-01_k_mix10_gap_mixup01_sgd_max_epoch100_lsecoer1e-04.txt
[00/100] [Loss] train:-0.186(f:-0.194+r:0.001+k:0.002+l:0.006) val:-0.192 test:-0.193 [Accr] train:20.4% val:21.0% test:21.0% maxVal:21.0% maxTest:21.0%
[01/100] [Loss] train:-0.203(f:-0.211+r:0.001+k:0.001+l:0.006) val:-0.225 test:-0.226 [Accr] train:21.7% val:23.7% test:23.7% maxVal:23.7% maxTest:23.7%
[02/100] [Loss] train:-0.234(f:-0.243+r:0.001+k:0.001+l:0.006) val:-0.263 test:-0.263 [Accr] train:25.4% val:28.6% test:28.6% maxVal:28.6% maxTest:28.6%
[03/100] [Loss] train:-0.242(f:-0.251+r:0.001+k:0.001+l:0.006) val:-0.288 test:-0.289 [Accr] train:25.9% val:30.0% test:30.0% maxVal:30.0% maxTest:30.0%
[04/100] [Loss] train:-0.272(f:-0.281+r:0.001+k:0.001+l:0.006) val:-0.330 test:-0.330 [Accr] train:29.6% val:35.1% test:35.1% maxVal:35.1% maxTest:35.1%
[05/100] [Loss] train:-0.280(f:-0.288+r:0.001+k:0.001+l:0.006) val:-0.325 test:-0.324 [Accr] train:29.9% val:33.4% test:33.4% maxVal:35.1% maxTest:35.1%
[06/100] [Loss] train:-0.264(f:-0.273+r:0.001+k:0.001+l:0.006) val:-0.265 test:-0.265 [Accr] train:28.2% val:27.8% test:27.8% maxVal:35.1% maxTest:35.1%
[07/100] [Loss] train:-0.281(f:-0.290+r:0.001+k:0.001+l:0.006) val:-0.337 test:-0.337 [Accr] train:29.7% val:35.1% test:35.1% maxVal:35.1% maxTest:35.1%
[08/100] [Loss] train:-0.260(f:-0.268+r:0.001+k:0.001+l:0.006) val:-0.290 test:-0.291 [Accr] train:27.5% val:30.0% test:30.0% maxVal:35.1% maxTest:35.1%
[09/100] [Loss] train:-0.285(f:-0.293+r:0.001+k:0.001+l:0.006) val:-0.327 test:-0.328 [Accr] train:30.2% val:34.5% test:34.5% maxVal:35.1% maxTest:35.1%
[10/100] [Loss] train:-0.319(f:-0.328+r:0.001+k:0.001+l:0.006) val:-0.351 test:-0.351 [Accr] train:33.7% val:36.6% test:36.6% maxVal:36.6% maxTest:36.6%
[11/100] [Loss] train:-0.326(f:-0.334+r:0.001+k:0.001+l:0.006) val:-0.377 test:-0.377 [Accr] train:34.0% val:39.2% test:39.2% maxVal:39.2% maxTest:39.2%
[12/100] [Loss] train:-0.319(f:-0.328+r:0.001+k:0.001+l:0.006) val:-0.379 test:-0.379 [Accr] train:33.3% val:39.3% test:39.3% maxVal:39.3% maxTest:39.3%
[13/100] [Loss] train:-0.331(f:-0.340+r:0.002+k:0.001+l:0.006) val:-0.399 test:-0.397 [Accr] train:34.7% val:41.5% test:41.5% maxVal:41.5% maxTest:41.5%
[14/100] [Loss] train:-0.323(f:-0.332+r:0.002+k:0.001+l:0.006) val:-0.377 test:-0.378 [Accr] train:33.7% val:39.6% test:39.6% maxVal:41.5% maxTest:41.5%
[15/100] [Loss] train:-0.332(f:-0.341+r:0.001+k:0.001+l:0.006) val:-0.381 test:-0.380 [Accr] train:34.6% val:39.4% test:39.4% maxVal:41.5% maxTest:41.5%
[16/100] [Loss] train:-0.331(f:-0.340+r:0.002+k:0.001+l:0.006) val:-0.390 test:-0.391 [Accr] train:34.5% val:40.7% test:40.7% maxVal:41.5% maxTest:41.5%
[17/100] [Loss] train:-0.327(f:-0.336+r:0.002+k:0.001+l:0.006) val:-0.387 test:-0.387 [Accr] train:33.9% val:39.9% test:39.9% maxVal:41.5% maxTest:41.5%
[18/100] [Loss] train:-0.349(f:-0.358+r:0.002+k:0.001+l:0.006) val:-0.409 test:-0.410 [Accr] train:36.2% val:42.3% test:42.3% maxVal:42.3% maxTest:42.3%
[19/100] [Loss] train:-0.304(f:-0.313+r:0.002+k:0.001+l:0.006) val:-0.354 test:-0.355 [Accr] train:31.8% val:37.4% test:37.4% maxVal:42.3% maxTest:42.3%
[20/100] [Loss] train:-0.353(f:-0.361+r:0.002+k:0.001+l:0.006) val:-0.413 test:-0.413 [Accr] train:36.8% val:42.9% test:42.9% maxVal:42.9% maxTest:42.9%
[21/100] [Loss] train:-0.365(f:-0.374+r:0.002+k:0.001+l:0.006) val:-0.423 test:-0.423 [Accr] train:37.9% val:43.8% test:43.8% maxVal:43.8% maxTest:43.8%
[22/100] [Loss] train:-0.375(f:-0.384+r:0.002+k:0.001+l:0.006) val:-0.435 test:-0.435 [Accr] train:38.9% val:44.8% test:44.8% maxVal:44.8% maxTest:44.8%
[23/100] [Loss] train:-0.355(f:-0.364+r:0.002+k:0.001+l:0.006) val:-0.413 test:-0.413 [Accr] train:36.7% val:42.5% test:42.5% maxVal:44.8% maxTest:44.8%
[24/100] [Loss] train:-0.353(f:-0.362+r:0.002+k:0.001+l:0.006) val:-0.407 test:-0.406 [Accr] train:36.7% val:42.2% test:42.2% maxVal:44.8% maxTest:44.8%
[25/100] [Loss] train:-0.383(f:-0.392+r:0.002+k:0.001+l:0.006) val:-0.452 test:-0.452 [Accr] train:39.6% val:46.2% test:46.2% maxVal:46.2% maxTest:46.2%
[26/100] [Loss] train:-0.373(f:-0.382+r:0.002+k:0.001+l:0.006) val:-0.423 test:-0.422 [Accr] train:38.6% val:43.3% test:43.3% maxVal:46.2% maxTest:46.2%
[27/100] [Loss] train:-0.355(f:-0.365+r:0.002+k:0.001+l:0.006) val:-0.407 test:-0.407 [Accr] train:36.8% val:42.2% test:42.2% maxVal:46.2% maxTest:46.2%
