Text name: res/res_cn_cls_cifar10_pairflip_rate45_lr1e-02_pi1_bias2e-01_k_mix10_gap_mixup01_sgd_max_epoch200_lsecoer1e-04.txt
[62/200] [Loss] train:-0.431(f:-0.440+r:0.002+k:0.002+l:0.006) val:-0.542 test:-0.543 [Accr] train:44.4% val:56.0% test:56.0% maxVal:56.5% maxTest:56.5%
[64/200] [Loss] train:-0.419(f:-0.428+r:0.002+k:0.002+l:0.006) val:-0.542 test:-0.542 [Accr] train:43.0% val:55.4% test:55.4% maxVal:56.5% maxTest:56.5%
[66/200] [Loss] train:-0.436(f:-0.446+r:0.002+k:0.002+l:0.006) val:-0.536 test:-0.536 [Accr] train:44.9% val:54.9% test:54.9% maxVal:56.5% maxTest:56.5%
[68/200] [Loss] train:-0.415(f:-0.424+r:0.002+k:0.002+l:0.006) val:-0.496 test:-0.496 [Accr] train:42.7% val:51.0% test:51.0% maxVal:56.5% maxTest:56.5%
[70/200] [Loss] train:-0.440(f:-0.450+r:0.002+k:0.002+l:0.006) val:-0.546 test:-0.546 [Accr] train:45.2% val:56.0% test:56.0% maxVal:56.5% maxTest:56.5%
[72/200] [Loss] train:-0.446(f:-0.456+r:0.002+k:0.002+l:0.006) val:-0.564 test:-0.564 [Accr] train:45.8% val:57.8% test:57.8% maxVal:57.8% maxTest:57.8%
[74/200] [Loss] train:-0.445(f:-0.454+r:0.002+k:0.002+l:0.006) val:-0.538 test:-0.539 [Accr] train:45.6% val:55.1% test:55.1% maxVal:57.8% maxTest:57.8%
[76/200] [Loss] train:-0.446(f:-0.456+r:0.002+k:0.002+l:0.006) val:-0.563 test:-0.563 [Accr] train:45.8% val:57.5% test:57.5% maxVal:57.8% maxTest:57.8%
[78/200] [Loss] train:-0.406(f:-0.415+r:0.002+k:0.002+l:0.006) val:-0.478 test:-0.478 [Accr] train:41.8% val:49.3% test:49.3% maxVal:57.8% maxTest:57.8%
[80/200] [Loss] train:-0.444(f:-0.453+r:0.002+k:0.002+l:0.006) val:-0.546 test:-0.546 [Accr] train:45.5% val:56.0% test:56.0% maxVal:57.8% maxTest:57.8%
[82/200] [Loss] train:-0.444(f:-0.454+r:0.002+k:0.002+l:0.006) val:-0.545 test:-0.546 [Accr] train:45.6% val:55.7% test:55.7% maxVal:57.8% maxTest:57.8%
[84/200] [Loss] train:-0.454(f:-0.463+r:0.002+k:0.002+l:0.006) val:-0.558 test:-0.558 [Accr] train:46.5% val:57.3% test:57.3% maxVal:57.8% maxTest:57.8%
[86/200] [Loss] train:-0.447(f:-0.456+r:0.002+k:0.002+l:0.006) val:-0.543 test:-0.543 [Accr] train:45.9% val:55.8% test:55.8% maxVal:57.8% maxTest:57.8%
[88/200] [Loss] train:-0.434(f:-0.443+r:0.002+k:0.002+l:0.006) val:-0.516 test:-0.516 [Accr] train:44.6% val:53.0% test:53.0% maxVal:57.8% maxTest:57.8%
[90/200] [Loss] train:-0.443(f:-0.453+r:0.002+k:0.002+l:0.006) val:-0.535 test:-0.535 [Accr] train:45.6% val:54.9% test:54.9% maxVal:57.8% maxTest:57.8%
[92/200] [Loss] train:-0.453(f:-0.463+r:0.002+k:0.002+l:0.006) val:-0.568 test:-0.568 [Accr] train:46.4% val:58.0% test:58.0% maxVal:58.0% maxTest:58.0%
