Text name: res/res_cn_cls_cifar10_pairflip_rate45_lr1e-02_pi1_bias2e-01_k_mix10_gap_mixup04_sgd_max_epoch100_lsecoer1e-04.txt
[00/100] [Loss] train:-0.168(f:-0.176+r:0.001+k:0.001+l:0.006) val:-0.190 test:-0.190 [Accr] train:17.5% val:19.0% test:19.0% maxVal:19.0% maxTest:19.0%
[01/100] [Loss] train:-0.213(f:-0.221+r:0.001+k:0.001+l:0.006) val:-0.241 test:-0.241 [Accr] train:23.3% val:27.2% test:27.2% maxVal:27.2% maxTest:27.2%
[02/100] [Loss] train:-0.217(f:-0.226+r:0.001+k:0.001+l:0.006) val:-0.269 test:-0.268 [Accr] train:23.5% val:29.2% test:29.2% maxVal:29.2% maxTest:29.2%
[03/100] [Loss] train:-0.204(f:-0.213+r:0.001+k:0.001+l:0.006) val:-0.253 test:-0.253 [Accr] train:22.3% val:29.1% test:29.1% maxVal:29.2% maxTest:29.2%
[04/100] [Loss] train:-0.226(f:-0.235+r:0.001+k:0.001+l:0.006) val:-0.293 test:-0.293 [Accr] train:24.2% val:31.8% test:31.8% maxVal:31.8% maxTest:31.8%
[05/100] [Loss] train:-0.260(f:-0.269+r:0.001+k:0.001+l:0.006) val:-0.334 test:-0.334 [Accr] train:27.6% val:35.8% test:35.8% maxVal:35.8% maxTest:35.8%
[06/100] [Loss] train:-0.270(f:-0.279+r:0.001+k:0.001+l:0.006) val:-0.376 test:-0.377 [Accr] train:28.6% val:40.6% test:40.6% maxVal:40.6% maxTest:40.6%
[07/100] [Loss] train:-0.227(f:-0.236+r:0.001+k:0.001+l:0.006) val:-0.294 test:-0.293 [Accr] train:23.7% val:30.9% test:30.9% maxVal:40.6% maxTest:40.6%
[08/100] [Loss] train:-0.280(f:-0.288+r:0.001+k:0.001+l:0.006) val:-0.348 test:-0.348 [Accr] train:29.0% val:36.1% test:36.1% maxVal:40.6% maxTest:40.6%
[09/100] [Loss] train:-0.287(f:-0.296+r:0.001+k:0.001+l:0.006) val:-0.402 test:-0.402 [Accr] train:30.7% val:42.9% test:42.9% maxVal:42.9% maxTest:42.9%
[10/100] [Loss] train:-0.263(f:-0.272+r:0.002+k:0.002+l:0.006) val:-0.279 test:-0.279 [Accr] train:27.7% val:29.5% test:29.5% maxVal:42.9% maxTest:42.9%
[11/100] [Loss] train:-0.265(f:-0.274+r:0.001+k:0.001+l:0.006) val:-0.324 test:-0.324 [Accr] train:28.0% val:33.9% test:33.9% maxVal:42.9% maxTest:42.9%
[12/100] [Loss] train:-0.254(f:-0.262+r:0.001+k:0.001+l:0.006) val:-0.331 test:-0.330 [Accr] train:26.8% val:34.7% test:34.7% maxVal:42.9% maxTest:42.9%
[13/100] [Loss] train:-0.292(f:-0.301+r:0.001+k:0.001+l:0.006) val:-0.354 test:-0.354 [Accr] train:30.7% val:37.5% test:37.5% maxVal:42.9% maxTest:42.9%
[14/100] [Loss] train:-0.317(f:-0.326+r:0.001+k:0.001+l:0.006) val:-0.442 test:-0.440 [Accr] train:33.3% val:46.3% test:46.3% maxVal:46.3% maxTest:46.3%
[15/100] [Loss] train:-0.302(f:-0.310+r:0.002+k:0.001+l:0.006) val:-0.417 test:-0.417 [Accr] train:31.3% val:43.2% test:43.2% maxVal:46.3% maxTest:46.3%
[16/100] [Loss] train:-0.327(f:-0.335+r:0.001+k:0.001+l:0.006) val:-0.386 test:-0.385 [Accr] train:34.3% val:40.3% test:40.3% maxVal:46.3% maxTest:46.3%
[17/100] [Loss] train:-0.338(f:-0.347+r:0.002+k:0.001+l:0.006) val:-0.452 test:-0.453 [Accr] train:35.2% val:46.6% test:46.6% maxVal:46.6% maxTest:46.6%
[18/100] [Loss] train:-0.301(f:-0.310+r:0.001+k:0.001+l:0.006) val:-0.382 test:-0.383 [Accr] train:31.6% val:40.4% test:40.4% maxVal:46.6% maxTest:46.6%
[19/100] [Loss] train:-0.337(f:-0.346+r:0.002+k:0.001+l:0.006) val:-0.421 test:-0.421 [Accr] train:35.1% val:43.6% test:43.6% maxVal:46.6% maxTest:46.6%
[20/100] [Loss] train:-0.325(f:-0.333+r:0.001+k:0.001+l:0.006) val:-0.455 test:-0.456 [Accr] train:34.0% val:47.6% test:47.6% maxVal:47.6% maxTest:47.6%
[21/100] [Loss] train:-0.336(f:-0.345+r:0.002+k:0.001+l:0.006) val:-0.433 test:-0.433 [Accr] train:35.0% val:45.2% test:45.2% maxVal:47.6% maxTest:47.6%
[22/100] [Loss] train:-0.335(f:-0.344+r:0.002+k:0.001+l:0.006) val:-0.430 test:-0.430 [Accr] train:34.8% val:44.8% test:44.8% maxVal:47.6% maxTest:47.6%
[23/100] [Loss] train:-0.298(f:-0.308+r:0.002+k:0.001+l:0.006) val:-0.359 test:-0.358 [Accr] train:31.0% val:37.0% test:37.0% maxVal:47.6% maxTest:47.6%
[24/100] [Loss] train:-0.347(f:-0.356+r:0.002+k:0.001+l:0.006) val:-0.476 test:-0.476 [Accr] train:36.1% val:49.9% test:49.9% maxVal:49.9% maxTest:49.9%
[25/100] [Loss] train:-0.334(f:-0.343+r:0.001+k:0.002+l:0.006) val:-0.451 test:-0.451 [Accr] train:34.8% val:46.8% test:46.8% maxVal:49.9% maxTest:49.9%
[26/100] [Loss] train:-0.337(f:-0.345+r:0.002+k:0.001+l:0.006) val:-0.428 test:-0.427 [Accr] train:35.1% val:44.4% test:44.4% maxVal:49.9% maxTest:49.9%
[27/100] [Loss] train:-0.342(f:-0.351+r:0.002+k:0.001+l:0.006) val:-0.452 test:-0.451 [Accr] train:35.5% val:47.0% test:47.0% maxVal:49.9% maxTest:49.9%
[28/100] [Loss] train:-0.347(f:-0.356+r:0.002+k:0.001+l:0.006) val:-0.448 test:-0.448 [Accr] train:36.0% val:46.2% test:46.2% maxVal:49.9% maxTest:49.9%
[29/100] [Loss] train:-0.326(f:-0.335+r:0.002+k:0.001+l:0.006) val:-0.429 test:-0.428 [Accr] train:34.0% val:44.6% test:44.6% maxVal:49.9% maxTest:49.9%
[30/100] [Loss] train:-0.360(f:-0.369+r:0.002+k:0.001+l:0.006) val:-0.475 test:-0.476 [Accr] train:37.3% val:48.8% test:48.8% maxVal:49.9% maxTest:49.9%
[31/100] [Loss] train:-0.331(f:-0.340+r:0.002+k:0.001+l:0.006) val:-0.445 test:-0.445 [Accr] train:34.4% val:46.5% test:46.5% maxVal:49.9% maxTest:49.9%
[32/100] [Loss] train:-0.364(f:-0.373+r:0.002+k:0.001+l:0.006) val:-0.481 test:-0.481 [Accr] train:37.8% val:49.4% test:49.4% maxVal:49.9% maxTest:49.9%
[33/100] [Loss] train:-0.374(f:-0.383+r:0.002+k:0.001+l:0.006) val:-0.495 test:-0.495 [Accr] train:38.7% val:51.2% test:51.2% maxVal:51.2% maxTest:51.2%
[34/100] [Loss] train:-0.359(f:-0.369+r:0.002+k:0.001+l:0.006) val:-0.478 test:-0.478 [Accr] train:37.3% val:49.7% test:49.7% maxVal:51.2% maxTest:51.2%
[35/100] [Loss] train:-0.366(f:-0.375+r:0.002+k:0.002+l:0.006) val:-0.482 test:-0.481 [Accr] train:38.0% val:49.9% test:49.9% maxVal:51.2% maxTest:51.2%
[36/100] [Loss] train:-0.363(f:-0.372+r:0.002+k:0.001+l:0.006) val:-0.491 test:-0.491 [Accr] train:37.7% val:50.7% test:50.7% maxVal:51.2% maxTest:51.2%
[37/100] [Loss] train:-0.375(f:-0.384+r:0.002+k:0.001+l:0.006) val:-0.499 test:-0.499 [Accr] train:38.8% val:51.5% test:51.5% maxVal:51.5% maxTest:51.5%
[38/100] [Loss] train:-0.375(f:-0.384+r:0.002+k:0.001+l:0.006) val:-0.510 test:-0.510 [Accr] train:38.8% val:52.7% test:52.7% maxVal:52.7% maxTest:52.7%
[39/100] [Loss] train:-0.369(f:-0.378+r:0.002+k:0.002+l:0.006) val:-0.465 test:-0.465 [Accr] train:38.2% val:48.0% test:48.0% maxVal:52.7% maxTest:52.7%
[40/100] [Loss] train:-0.378(f:-0.387+r:0.002+k:0.001+l:0.006) val:-0.511 test:-0.511 [Accr] train:39.2% val:52.8% test:52.8% maxVal:52.8% maxTest:52.8%
[41/100] [Loss] train:-0.379(f:-0.388+r:0.002+k:0.001+l:0.006) val:-0.507 test:-0.507 [Accr] train:39.4% val:52.4% test:52.4% maxVal:52.8% maxTest:52.8%
[42/100] [Loss] train:-0.388(f:-0.397+r:0.002+k:0.001+l:0.006) val:-0.496 test:-0.496 [Accr] train:40.1% val:51.0% test:51.0% maxVal:52.8% maxTest:52.8%
